"Step","Name: compare_k-512 - Log ZCSMC","Name: compare_k-512 - Log ZCSMC__MIN","Name: compare_k-512 - Log ZCSMC__MAX","Name: compare_k-256 - Log ZCSMC","Name: compare_k-256 - Log ZCSMC__MIN","Name: compare_k-256 - Log ZCSMC__MAX","Name: compare_k-128 - Log ZCSMC","Name: compare_k-128 - Log ZCSMC__MIN","Name: compare_k-128 - Log ZCSMC__MAX","Name: compare_k-64 - Log ZCSMC","Name: compare_k-64 - Log ZCSMC__MIN","Name: compare_k-64 - Log ZCSMC__MAX","Name: compare_k-32 - Log ZCSMC","Name: compare_k-32 - Log ZCSMC__MIN","Name: compare_k-32 - Log ZCSMC__MAX","Name: compare_k-16 - Log ZCSMC","Name: compare_k-16 - Log ZCSMC__MIN","Name: compare_k-16 - Log ZCSMC__MAX"
"0","-6923.220865885417","-7081.3115234375","-6818.53759765625","-6919.106282552083","-7136.458984375","-6638.28564453125","-7177.7158203125","-7679.06787109375","-6808.32666015625","-7156.757161458333","-7518.1494140625","-6828.060546875","-7366.431315104167","-7467.990234375","-7273.2373046875","-7343.729166666667","-7530.57421875","-7154.1533203125"
"1","-6900.94189453125","-7049.40576171875","-6812.4951171875","-6763.984537760417","-6873.22900390625","-6573.7421875","-7004.182291666667","-7146.93505859375","-6899.49609375","-7005.056803385417","-7310.6318359375","-6814.759765625","-7260.634602864583","-7383.09765625","-7147.3369140625","-7438.263020833333","-7777.3505859375","-7182.25048828125"
"2","-6766.000651041667","-6837.0634765625","-6668.783203125","-6612.3896484375","-6775.03125","-6519.7080078125","-6839.561848958333","-7047.6787109375","-6635.53662109375","-6899.763997395833","-7112.427734375","-6723.8935546875","-7256.857584635417","-7410.1982421875","-7055.5185546875","-7170.361002604167","-7288.7958984375","-7052.50830078125"
"3","-6623.588216145833","-6731.19580078125","-6498.296875","-6577.436848958333","-6747.34228515625","-6422.80419921875","-6712.757975260417","-6807.42333984375","-6659.501953125","-6782.932454427083","-7046.22802734375","-6605.36962890625","-7154.2763671875","-7419.80517578125","-6976.12060546875","-7118.297526041667","-7334.80419921875","-6854.95556640625"
"4","-6600.65966796875","-6738.37939453125","-6528.29931640625","-6567.82666015625","-6608.54833984375","-6486.46484375","-6577.471354166667","-6651.31396484375","-6491.65185546875","-6778.208821614583","-6972.9736328125","-6571.36279296875","-7046.411946614583","-7323.2802734375","-6898.4248046875","-7115.67822265625","-7311.298828125","-6943.0390625"
"5","-6441.622721354167","-6508.365234375","-6357.58203125","-6438.288899739583","-6505.6826171875","-6356.61572265625","-6597.935384114583","-6705.84326171875","-6481.3203125","-6659.711751302083","-6884.9755859375","-6504.6552734375","-6941.970703125","-7260.8642578125","-6727.80078125","-7296.293619791667","-7791.03369140625","-6713.5263671875"
"6","-6483.237141927083","-6668.8251953125","-6342.25927734375","-6405.70654296875","-6522.31591796875","-6281.6806640625","-6439.624348958333","-6487.138671875","-6360.1650390625","-6566.101236979167","-6783.5615234375","-6366.40673828125","-6688.262532552083","-6736.28759765625","-6636.771484375","-6838.222819010417","-7003.9658203125","-6707.5302734375"
"7","-6422.985188802083","-6561.77685546875","-6330.3154296875","-6370.133138020833","-6578.1953125","-6144.560546875","-6553.811360677083","-6730.10546875","-6434.8134765625","-6554.000651041667","-6746.021484375","-6334.958984375","-6703.576985677083","-6799.54931640625","-6565.6669921875","-6672.783365885417","-6756.8515625","-6545.9072265625"
"8","-6388.132486979167","-6441.625","-6314.0283203125","-6315.394856770833","-6346.34375","-6291.48828125","-6337.6259765625","-6406.958984375","-6240.689453125","-6427.910319010417","-6641.21435546875","-6316.3955078125","-6646.059733072917","-6786.10205078125","-6509.1416015625","-6723.5517578125","-6834.857421875","-6646.3369140625"
"9","-6275.45751953125","-6298.0517578125","-6255.7509765625","-6287.337239583333","-6331.7236328125","-6247.36865234375","-6286.523274739583","-6303.1259765625","-6267.88916015625","-6452.87548828125","-6655.740234375","-6287.48681640625","-6491.862955729167","-6629.109375","-6381.6171875","-6634.969563802083","-6868.912109375","-6410.224609375"
"10","-6249.31005859375","-6332.43017578125","-6189.3740234375","-6249.939615885417","-6342.0615234375","-6122.44384765625","-6271.06298828125","-6299.685546875","-6234.9892578125","-6343.40283203125","-6576.93408203125","-6207.47998046875","-6603.3095703125","-6816.791015625","-6405.26953125","-6529.241048177083","-6668.3896484375","-6383.70849609375"
"11","-6231.3447265625","-6246.93359375","-6217.22802734375","-6209.86279296875","-6274.5947265625","-6113.4306640625","-6212.755533854167","-6328.5634765625","-6134.716796875","-6449.914876302083","-6578.626953125","-6264.5908203125","-6408.986328125","-6436.4375","-6387.18798828125","-6467.426595052083","-6605.23828125","-6251.4052734375"
"12","-6184.717936197917","-6199.2216796875","-6158.6201171875","-6193.052897135417","-6358.111328125","-6065.55126953125","-6263.32177734375","-6337.87158203125","-6173.3935546875","-6299.4404296875","-6474.98583984375","-6179.38818359375","-6412.509114583333","-6583.9814453125","-6259.6376953125","-6396.39013671875","-6519.2822265625","-6329.93310546875"
"13","-6196.156575520833","-6266.17626953125","-6146.32666015625","-6199.331380208333","-6235.943359375","-6165.1259765625","-6277.712890625","-6522.5234375","-6125.91796875","-6241.196451822917","-6458.322265625","-6065.73388671875","-6299.29345703125","-6330.76904296875","-6282.6064453125","-6295.31396484375","-6338.44189453125","-6269.013671875"
"14","-6111.120442708333","-6134.94677734375","-6091.662109375","-6160.472493489583","-6198.4736328125","-6123.05615234375","-6179.1669921875","-6229.19140625","-6149.23193359375","-6280.69677734375","-6366.05712890625","-6206.822265625","-6371.626627604167","-6566.478515625","-6128.8798828125","-6435.996744791667","-6598.39404296875","-6144.6376953125"
"15","-6106.1611328125","-6152.4873046875","-6081.4267578125","-6059.16064453125","-6107.13427734375","-6007.3271484375","-6169.9609375","-6175.6943359375","-6158.91015625","-6237.344889322917","-6406.17236328125","-6096.0087890625","-6395.125325520833","-6636.53515625","-6267.2275390625","-6268.15380859375","-6358.18017578125","-6163.349609375"
"16","-6104.784505208333","-6175.3720703125","-6068.291015625","-6075.734700520833","-6092.1259765625","-6047.72265625","-6227.65087890625","-6336.70361328125","-6068.76318359375","-6263.127278645833","-6324.546875","-6205.3544921875","-6188.882161458333","-6247.4169921875","-6141.4716796875","-6248.538411458333","-6342.6650390625","-6110.05859375"
"17","-6085.404947916667","-6086.02001953125","-6085.00048828125","-6234.306477864583","-6308.19384765625","-6137.908203125","-6232.3857421875","-6336.814453125","-6112.79296875","-6196.486002604167","-6242.658203125","-6137.20556640625","-6241.9609375","-6308.03125","-6120.6630859375","-6372.0693359375","-6635.9775390625","-6159.77294921875"
"18","-6037.774739583333","-6044.765625","-6032.1728515625","-6053.588704427083","-6135.07373046875","-6010.9365234375","-6121.61181640625","-6161.408203125","-6075.02392578125","-6202.682779947917","-6298.36865234375","-6088.3193359375","-6233.340983072917","-6265.14404296875","-6182.951171875","-6351.969401041667","-6632.5888671875","-6151.03173828125"
"19","-6057.762858072917","-6091.70703125","-6038.49560546875","-6096.158854166667","-6132.83251953125","-6034.53369140625","-6243.8154296875","-6317.79345703125","-6137.96142578125","-6093.804524739583","-6181.58642578125","-6000.42529296875","-6368.154296875","-6716.29150390625","-6173.900390625","-6350.916341145833","-6554.97802734375","-6181.08935546875"
"20","-6065.66748046875","-6151.1748046875","-6020.99560546875","-6046.650390625","-6094.57763671875","-6003.4150390625","-6045.585611979167","-6151.470703125","-5980.4541015625","-6161.205078125","-6315.0078125","-6018.23291015625","-6127.625162760417","-6240.55810546875","-6038.59619140625","-6311.425455729167","-6415.0341796875","-6258.96875"
"21","-6032.897135416667","-6110.408203125","-5985.51123046875","-6051.3271484375","-6085.48779296875","-6009.521484375","-6067.535970052083","-6147.4189453125","-5973.80517578125","-6108.6416015625","-6161.72607421875","-6011.81884765625","-6155.291015625","-6177.564453125","-6126.7880859375","-6405.06298828125","-6642.8974609375","-6224.90185546875"
"22","-6078.341634114583","-6187.224609375","-6003.947265625","-6025.224609375","-6036.576171875","-6004.8583984375","-6137.01123046875","-6203.05615234375","-6033.7333984375","-6119.603678385417","-6151.1943359375","-6093.3544921875","-6212.906412760417","-6309.95556640625","-6124.1962890625","-6218.902018229167","-6265.1025390625","-6140.330078125"
"23","-6004.996256510417","-6037.56640625","-5980.13818359375","-6017.60546875","-6044.95166015625","-5990.25927734375","-6025.576009114583","-6078.21484375","-5987.931640625","-6056.697102864583","-6096.14453125","-6030.107421875","-6317.368326822917","-6382.970703125","-6220.09423828125","-6260.217122395833","-6451.0693359375","-6052.7314453125"
"24","-6045.895670572917","-6081.015625","-5995.646484375","-6073.08837890625","-6099.5439453125","-6046.6328125","-6136.183430989583","-6259.92138671875","-6069.25830078125","-6120.105305989583","-6167.47802734375","-6082.37890625","-6231.139973958333","-6497.2099609375","-6000.02734375","-6265.57373046875","-6637.5205078125","-6077.984375"
"25","-5975.862141927083","-5987.5517578125","-5961.98388671875","-6034.470703125","-6090.49755859375","-5978.44384765625","-6018.372884114583","-6047.90625","-5986.46826171875","-6087.852864583333","-6181.71142578125","-5935.3994140625","-6152.888509114583","-6235.18798828125","-6070.095703125","-6234.102864583333","-6246.955078125","-6209.2021484375"
"26","-6015.388346354167","-6018.3203125","-6010.3056640625","-6002.885009765625","-6046.61572265625","-5959.154296875","-6071.992838541667","-6101.7607421875","-6036.3974609375","-6046.57373046875","-6055.03662109375","-6031.79736328125","-6237.701985677083","-6378.14794921875","-6159.693359375","-6269.83544921875","-6322.63427734375","-6184.6865234375"
"27","-6038.006184895833","-6156.51171875","-5965.8671875","-5979.1025390625","-5990.451171875","-5967.75390625","-6048.445149739583","-6121.5751953125","-5997.92236328125","-6104.008463541667","-6126.130859375","-6066.37890625","-6088.408854166667","-6165.529296875","-6037.650390625","-6464.0234375","-6802.9091796875","-6228.4775390625"
"28","-5992.880533854167","-6011.18017578125","-5968.87109375","-6026.222900390625","-6031.46435546875","-6020.9814453125","-6147.84619140625","-6318.583984375","-6044.41015625","-6136.554524739583","-6195.67919921875","-6021.3642578125","-6219.3076171875","-6340.060546875","-6149.4287109375","-6243.194498697917","-6395.9755859375","-6120.728515625"
"29","-6005.699544270833","-6096.74560546875","-5953.34765625","-6008.07568359375","-6061.6318359375","-5954.51953125","-6047.607747395833","-6134.6728515625","-5946.26806640625","-6029.636555989583","-6070.10791015625","-6004.3271484375","-6107.44189453125","-6137.00537109375","-6056.7724609375","-6197.983723958333","-6286.173828125","-6091.638671875"
"30","-5992.61962890625","-6033.6123046875","-5963.197265625","-5946.759521484375","-5949.14892578125","-5944.3701171875","-6055.11962890625","-6127.9326171875","-5963.95166015625","-6010.030924479167","-6097.48583984375","-5937.89111328125","-6089.98828125","-6127.30078125","-6064.369140625","-6265.0546875","-6332.38525390625","-6172.4228515625"
"31","-6007.167154947917","-6034.98974609375","-5961.4033203125","-6130.012451171875","-6228.2314453125","-6031.79345703125","-6041.358235677083","-6090.658203125","-5960.40380859375","-6065.6572265625","-6205.9140625","-5975.2265625","-6209.746256510417","-6286.0380859375","-6119.7490234375","-6086.75634765625","-6119.64794921875","-6024.62109375"
"32","-6015.75","-6079.65283203125","-5944.78369140625","-6008.941650390625","-6065.13720703125","-5952.74609375","-6052.895670572917","-6109.10888671875","-6006.7060546875","-6025.807291666667","-6058.9462890625","-5959.9765625","-6156.824381510417","-6279.4931640625","-6078.21826171875","-6250.6044921875","-6437.34375","-6040.623046875"
"33","-5984.013671875","-6046.390625","-5952.7490234375","-6066.8662109375","-6137.02685546875","-5996.70556640625","-6013.240885416667","-6090.978515625","-5937.6015625","-6082.336263020833","-6170.251953125","-5992.00634765625","-6251.359537760417","-6467.853515625","-6049.32470703125","-6183.204264322917","-6314.1376953125","-6020.259765625"
"34","-6006.194661458333","-6073.2529296875","-5946.5234375","-5996.600341796875","-6039.33447265625","-5953.8662109375","-6086.919270833333","-6282.84228515625","-5931.4423828125","-6076.208658854167","-6135.8876953125","-6019.75634765625","-6096.809244791667","-6162.8017578125","-6027.0888671875","-6160.216959635417","-6295.42724609375","-6023.2021484375"
"35","-5999.12255859375","-6060.5107421875","-5941.27001953125","-5996.625","-5999.126953125","-5994.123046875","-5988.48974609375","-6034.2734375","-5932.5224609375","-6030.669270833333","-6053.93408203125","-6001.638671875","-6022.288736979167","-6084.4462890625","-5968.2138671875","-6171.979654947917","-6290.13330078125","-6056.8984375"
"36","-5994.16357421875","-6031.4140625","-5971.50244140625","-5996.744384765625","-6052.15869140625","-5941.330078125","-6043.309895833333","-6075.71337890625","-5990.14697265625","-6065.199055989583","-6132.73291015625","-5979.587890625","-6243.364420572917","-6438.302734375","-6109.43896484375","-6237.339518229167","-6466.19970703125","-5970.46484375"
"37","-6008.58740234375","-6099.87060546875","-5945.28125","-5945.62109375","-5950.015625","-5941.2265625","-6004.250162760417","-6126.80224609375","-5935.595703125","-6063.023274739583","-6114.7568359375","-5993.4033203125","-6100.406901041667","-6157.13671875","-6022.771484375","-6304.381998697917","-6460.96337890625","-6136.86376953125"
"38","-6039.069010416667","-6119.955078125","-5931.080078125","-5937.43115234375","-5938.353515625","-5936.5087890625","-6022.86083984375","-6064.37744140625","-5978.224609375","-6056.757161458333","-6181.27392578125","-5970.59765625","-6351.87451171875","-6587.31103515625","-6052.4755859375","-6200.908203125","-6459.005859375","-5985.8251953125"
"39","-5988.24365234375","-6033.67724609375","-5942.56103515625","-5986.906982421875","-6025.658203125","-5948.15576171875","-6066.1259765625","-6229.3701171875","-5926.962890625","-6187.556803385417","-6374.4091796875","-6055.43408203125","-6245.510579427083","-6277.2216796875","-6190.259765625","-6143.230631510417","-6231.6337890625","-6073.4296875"
"40","-5949.653645833333","-5977.28125","-5927.8974609375","-5955.954833984375","-5978.23876953125","-5933.6708984375","-6025.16943359375","-6167.7666015625","-5923.23583984375","-6000.11669921875","-6026.52978515625","-5969.2685546875","-6094.266438802083","-6190.6435546875","-5999.09423828125","-6366.7275390625","-6588.244140625","-6157.56005859375"
"41","-6020.940755208333","-6051.47265625","-5982.552734375","-6039.992431640625","-6051.2294921875","-6028.75537109375","-5989.160970052083","-6034.56201171875","-5945.412109375","-6000.689453125","-6005.34033203125","-5994.53173828125","-6046.405924479167","-6089.767578125","-6001.818359375","-6110.084798177083","-6219.69873046875","-5968.37255859375"
"42","-5969.908040364583","-5976.6201171875","-5960.4853515625","-5991.535888671875","-5996.5","-5986.57177734375","-6035.140299479167","-6179.3759765625","-5934.630859375","-6098.006022135417","-6297.97509765625","-5951.548828125","-6280.51416015625","-6410.1572265625","-6086.4814453125","-6444.186848958333","-6672.22705078125","-6100.42529296875"
"43","-5975.881673177083","-6029.78515625","-5921.15283203125","-5973.72900390625","-6012.34326171875","-5935.11474609375","-6002.672037760417","-6084.2333984375","-5934.84228515625","-6045.246907552083","-6136.45556640625","-5976.7900390625","-6173.145833333333","-6268.173828125","-6121.634765625","-6374.581868489583","-6673.2646484375","-6121.63671875"
"44","-5967.12890625","-5995.6875","-5923.9599609375","-5957.5810546875","-5986.779296875","-5928.3828125","-6026.733561197917","-6047.916015625","-6002.8056640625","-5960.212890625","-6005.7421875","-5926.8701171875","-6145.6513671875","-6248.09912109375","-5997.2646484375","-6072.195963541667","-6192.02587890625","-5971.2080078125"
"45","-5951.51416015625","-5983.91162109375","-5932.939453125","-5945.873046875","-5949.55126953125","-5942.19482421875","-6030.145182291667","-6110.6328125","-5928.1455078125","-6002.918131510417","-6037.0263671875","-5980.0439453125","-6045.675455729167","-6054.67822265625","-6036.79638671875","-6171.469075520833","-6270.2802734375","-6116.9931640625"
"46","-5956.611165364583","-6001.4150390625","-5931.4765625","-5982.811767578125","-5984.6943359375","-5980.92919921875","-5990.58935546875","-6063.0146484375","-5921.3037109375","-6067.74072265625","-6103.927734375","-6047.10546875","-6091.00439453125","-6281.244140625","-5980.6767578125","-6383.192057291667","-6677.58154296875","-6214.85498046875"
"47","-5962.345865885417","-5981.29833984375","-5934.80078125","-5981.68798828125","-5991.07470703125","-5972.30126953125","-6060.47509765625","-6143.509765625","-6016.42822265625","-5961.880045572917","-6015.55419921875","-5934.9736328125","-6128.51708984375","-6268.921875","-6057.74462890625","-6218.585611979167","-6465.53564453125","-6071.26904296875"
"48","-5980.342122395833","-6056.982421875","-5920.5771484375","-5930.442626953125","-5938.587890625","-5922.29736328125","-5972.652669270833","-6011.91357421875","-5937.375","-5991.341145833333","-6025.8193359375","-5968.49853515625","-6190.09228515625","-6434.396484375","-6055.91015625","-6132.4443359375","-6198.60400390625","-6036.60400390625"
"49","-5949.241861979167","-5962","-5929.34765625","-6049.2578125","-6122.4853515625","-5976.0302734375","-5946.057942708333","-5986.4560546875","-5919.4873046875","-6007.173665364583","-6068.7998046875","-5969.68701171875","-6030.621744791667","-6076.22216796875","-5993.33349609375","-6182.62744140625","-6312.427734375","-6082.74609375"
"50","-5938.180501302083","-5962.81201171875","-5918.294921875","-5974.74267578125","-6029.71875","-5919.7666015625","-6035.32421875","-6070.4521484375","-5996.4765625","-5946.383626302083","-5972.931640625","-5931.927734375","-6035.424479166667","-6056.8076171875","-5999.107421875","-6234.05712890625","-6463.0078125","-6048.47900390625"
"51","-5973.306966145833","-6033.4052734375","-5932.14453125","-5946.36181640625","-5975.0654296875","-5917.658203125","-5990.8662109375","-6080.46533203125","-5921.97119140625","-5987.887858072917","-6110.60498046875","-5923.232421875","-6108.126627604167","-6177.708984375","-6027.11669921875","-6333.61572265625","-6653.29736328125","-6056.2578125"
"52","-5926.62890625","-5931.2939453125","-5918.67138671875","-5941.937255859375","-5963.29541015625","-5920.5791015625","-6000.533528645833","-6048.42041015625","-5968.458984375","-5973.773274739583","-6009.08056640625","-5948.06689453125","-6096.212239583333","-6121.43994140625","-6067.626953125","-6107.943196614583","-6215.0693359375","-6053.794921875"
"53","-5968.1455078125","-6014.78759765625","-5929.875","-6027.8076171875","-6126.2783203125","-5929.3369140625","-6002.048828125","-6081.28466796875","-5914.38818359375","-6004.9677734375","-6077.001953125","-5961.31005859375","-6030.462076822917","-6109.00048828125","-5947.59228515625","-6118.97802734375","-6179.900390625","-6086.25244140625"
"54","-5963.324055989583","-6014.9208984375","-5919.45458984375","-5944.540771484375","-5972.7900390625","-5916.29150390625","-6026.28662109375","-6181.3515625","-5928.39794921875","-5950.435872395833","-5979.28515625","-5925.125","-6127.839192708333","-6175.95947265625","-6079.3525390625","-6116.146158854167","-6146.154296875","-6063.29443359375"
"55","-6001.39453125","-6017.69140625","-5970.7392578125","-5980.784423828125","-6006.2705078125","-5955.29833984375","-5973.386393229167","-5993.21875","-5957.06396484375","-6010.558756510417","-6087.49267578125","-5933.46240234375","-6088.257161458333","-6110.021484375","-6063.6494140625","-6163.013346354167","-6404.9140625","-5985.75732421875"
"56","-5951.815592447917","-5993.80078125","-5927.9501953125","-5947.26953125","-5975.134765625","-5919.404296875","-6025.79638671875","-6138.71630859375","-5966.07421875","-6012.0556640625","-6071.6640625","-5965.8388671875","-6084.748860677083","-6112.1416015625","-6057.7412109375","-6206.39697265625","-6346.529296875","-6132.9501953125"
"57","-5959.314453125","-6011.640625","-5927.265625","-5950.044189453125","-5964.828125","-5935.26025390625","-5943.095052083333","-5987.67333984375","-5914.78857421875","-5994.613606770833","-6039.056640625","-5967.41748046875","-6016.3984375","-6043.96630859375","-5979.333984375","-6229.55126953125","-6365.4921875","-6126.91650390625"
"58","-5940.7763671875","-5953.529296875","-5928.7998046875","-5968.386962890625","-5970.25341796875","-5966.5205078125","-5954.846516927083","-6020.6669921875","-5911.4189453125","-5996.1298828125","-6100.42041015625","-5938.93017578125","-6007.808268229167","-6104.38525390625","-5942.4404296875","-6336.756022135417","-6612.0283203125","-6197.81494140625"
"59","-5996.044759114583","-6015.25390625","-5973.0927734375","-5951.193115234375","-5978.90087890625","-5923.4853515625","-5957.58203125","-5965.5791015625","-5946.83935546875","-5963.131184895833","-5988.90625","-5948.5595703125","-6003.01318359375","-6056.7333984375","-5933.2578125","-6343.5712890625","-6662.57666015625","-6173.41259765625"
"60","-5945.298014322917","-5952.73046875","-5931.31982421875","-6039.24462890625","-6065.21875","-6013.2705078125","-6030.953450520833","-6146.9345703125","-5969.677734375","-6070.608072916667","-6161.5673828125","-5959.7333984375","-6099.591796875","-6150.6240234375","-6052.1640625","-6045.368977864583","-6116.94091796875","-6007.8115234375"
"61","-5945.724446614583","-6004.6064453125","-5916.27001953125","-6045.052490234375","-6080.79736328125","-6009.3076171875","-6006.477213541667","-6141.9150390625","-5937.26708984375","-5970.435872395833","-6004.228515625","-5939.0615234375","-6172.47265625","-6516.7412109375","-5999.41796875","-6315.826171875","-6740.7548828125","-6062.919921875"
"62","-5951.199055989583","-5983.54833984375","-5914.1962890625","-5984.183837890625","-6046.38427734375","-5921.9833984375","-5957.78369140625","-6041.69384765625","-5908.494140625","-6014.40576171875","-6103.55224609375","-5969.00341796875","-6006.979817708333","-6070.6083984375","-5947.443359375","-6160.98876953125","-6244.48046875","-6063.83544921875"
"63","-5957.243977864583","-6001.78076171875","-5914.1435546875","-5983.20947265625","-6044.9091796875","-5921.509765625","-5941.972005208333","-5961.36962890625","-5908.26025390625","-5951.1953125","-5969.0751953125","-5926.7978515625","-6135.118977864583","-6203.15234375","-6061.763671875","-6137.5576171875","-6300.26953125","-6004.7626953125"
"64","-5963.517252604167","-5976.10107421875","-5954.84814453125","-5985.4873046875","-5987.94287109375","-5983.03173828125","-5998.323079427083","-6075.04248046875","-5932.962890625","-5984.853190104167","-6040.9208984375","-5930.8505859375","-6078.038736979167","-6176.7802734375","-6004.9169921875","-6338.52685546875","-6562.19140625","-6128.1103515625"
